ID,Nome,latitude,longitude
182,Praça Faca Cega,-8.119843092,-34.95611551
183,Praça Doutor Júlio Campelo,-8.032431242,-34.93133529
184,Praça Jornalista Otávio Sarmento Cardoso/Coliseu,-8.037252355,-34.95602863
185,Praça Angélica,-8.053687749,-34.93151417
186,Praça Movicar,-8.093465192,-34.93254057
187,Praça das Criancas,-8.098665789,-34.93360387
188,Praça Pedro Brandão,-8.097704971,-34.93173386
189,Praça Eduardo Cardoso/Gregório Albuquerque,-8.09643717,-34.93142046
190,Praça Irmã Douraci,-8.07181677,-34.91832397
191,Praça El Salvador,-8.076677599,-34.94207711
192,Praça Noel Rodrigues,-8.067143641,-34.92752222
193,Praça Noel Rodrigues,-8.066568087,-34.92736969
194,Praça Dom Bosco,-8.075048933,-34.9299451
195,Praça Nossa Senhora de Fátima,-8.072333057,-34.93061711
196,Praça professora Antonia Galvão,-8.021164799,-34.89318526
197,Praça desenhista Eulino Santos,-8.022917866,-34.88311476
198,Praça do Cajueiro,-8.01281867,-34.88307815
199,Praça Sementes do Amanhã,-8.013098914,-34.88177275
200,Praça do Colégio Jarbas Pernambucano,-8.011087595,-34.88380149
201,Praça Lagoa do Araça,-8.094360461,-34.91491461
202,Praça Rádio Capibaribe,-8.014349772,-34.88321901
203,Praça Rádio Capibaribe,-8.013924604,-34.88304571
204,Praça da Igreja,-8.129980705,-34.94806974
205,Praça do Comar,-7.990179773,-34.91556605
206,Praça Raizes,-8.112185887,-34.95060483
207,Praça da Amizade,-8.065087774,-34.93222682
208,Praça do Fundão,-8.013909336,-34.88944698
209,Praça Professor Trajano,-8.044982837,-34.90996987
210,Praça São Francisco de Assis,-8.036490888,-34.9757881
211,Praça Tamarindo,-8.114388946,-34.9501783
212,Praça  João Maurício Campos,-8.121774812,-34.94565974
213,Praça Artur Lima Cavalcanti,-8.045358016,-34.874266
214,Praça da travessa José Leite,-8.089403777,-34.88886883
215,Praça Luiz Americo Willians,-8.113285082,-34.95039008
216,Praça João Rique,-8.032167777,-34.93204838
217,Praça José Maria do Nascimento Paraíba/Lixão,-8.119127435,-34.95361817
218,Praça da rua ABC,-8.082779575,-34.91067924
219,Praca Santa Luzia,-8.115719677,-34.95500836
220,Praça Brasilit,-8.041706266,-34.95026367
221,Praça Sabere,-8.03727147,-34.95239724
222,Praça Quitéria,-8.052537548,-34.95636268
223,Praça Carmela Dutra/Ipiranga,-8.078167137,-34.91432807
224,Praça Isabel Cabral,-8.080062722,-34.91913278
225,Praça Joaquim Cardoso/da Biblioteca,-8.082177592,-34.9080519
226,Praça João Miguel de Souza Junior,-8.058880804,-34.94576938
227,Praça João Miguel de Souza Junior,-8.059468402,-34.94566536
228,Praça Sítio das Palmeiras,-8.051317352,-34.93922838
229,Praça Maria Sampaio Lucena,-8.120939851,-34.94593532
230,Praça Paulo Freire,-8.04977648,-34.90498149
231,Praça do Finado Leiteiro,-8.120234711,-34.94726276
232,Parque Doutor Arnaldo Assunção,-8.057223142,-34.94285155
233,Praça Coronel Silva Torres,-8.053406687,-34.90355401
234,Praça da Rua Cordislândia,-8.039633133,-34.93494625
235,Praça da Alegria,-8.063708519,-34.88698962
236,Praça da Comunidade,-8.116194218,-34.94763521
237,Praça do Forte do Brum,-8.052791938,-34.87148251
238,Praça Cívica,-8.046881037,-34.87599171
239,Praça do Escorrego,-8.11750539,-34.94688157
240,Praça Estevão de Sá,-8.036645069,-34.94648015
241,Praça da Rua Caxangá Agape,-8.036157479,-34.94740386
242,Praça Herois da Restauração /do Buraco,-8.097417499,-34.93563583
243,Praça Cristo Rei,-8.120631578,-34.95473409
244,Praça Engenho Poeta/do Rotary,-8.034238461,-34.95088649
245,Praça Monsenhor Arruda Camara,-8.091585271,-34.93027685
246,Praça José Cicílio,-8.094189484,-34.9332826
247,Praça Antonio Bezerra Pontes,-8.096969362,-34.93386564
248,Praça da Mentira,-8.096804269,-34.9326179
