ID,Nome,Descricao,Bairro,Endereco,latitude,longitude
123,Praça Ministro João Gonçalves de Souza,Praça,Iputinga,Rua Borges Da Fonseca/Rua General Vargas,-8.048164548,-34.94373587
124,Parque do Forte do Arraial Novo do Bom Jesus,Parque,Torroes,Rua Antonio Valdevino Costa/Est Do A Novo Do B Jesus/R Maravilha/ R Dezesseis De Outubro,-8.05849178,-34.93190824
125,Parque do Forte do Arraial Novo do Bom Jesus,Parque,Cordeiro,Rua Profa Laura Ferreira Da Costa/Est Do Forte Do Arraial N Do Bom Jesus/R Antonio Valdevino Costa,-8.056643274,-34.93093265
126,Praça Eça de Queiroz,Praça,Madalena,Rua Januario Barbosa/Avenida Visconde De Albuquerque/R Des Luiz Salazar / Rua Pessoa De Melo,-8.050718298,-34.90697695
127,Praça Solange Pinto Melo,Praça,Madalena,Rua Real Da Torre/ Rua Jose Osorio,-8.052486506,-34.90866922
128,Praça Solange Pinto Melo,Praça,Madalena,Rua Jose Osorio/ Rua Real Da Torre,-8.054042493,-34.90886132
129,Praça Tobias Vitorino da Silva,Praça,Cajueiro,Rua Barao De Tracunhaem/R Dr Paulo Ramos/ R Luiz Clericuzzi,-8.012621221,-34.88648683
130,Praça da Redenção,Praça,Engenho Do Meio,Rua Antonio Borges Uchoa/ Praca Da Redencao,-8.055797033,-34.9457789
131,Praça Domingos Giovanetti,Praça,Madalena,Avenida Beira Rio/ R Padre Anchieta/ R Clovis Bevilacua,-8.047287513,-34.90435936
132,Praça Astério Rufino Alves,Praça,Areias,Avenida Estancia/Rua Barros Sobrinho/Rua Dr Adelino Filho,-8.086152993,-34.93252543
133,Praça Luiz Gonzaga,Praça,Cohab,Rua Engenho Boa Sorte / Rua Engenhjo Barro Alto / Rua Engenho Tabare / Rua Engenho Curralinho,-8.114512026,-34.95083597
134,Praça Tertuliano Feitosa,Praça,Hipodromo,Rua Ascenso Ferreira/Rua Carlos Fernandes/R Nogueira Limar Fonseca Oliveira,-8.031892077,-34.88655079
135,Praça Ulisses Leon de Oliveira,Praça,Hipodromo,Rua Madre Rosa Gatorno/Rua Marques De Baipendi/R Prof Jeronimo Gueiros,-8.02933478,-34.88946523
136,Praça Antônio Luiz,Praça,Ponto De Parada,Rua Dr Raimundo Cavalcanti  Uchoa/ Avenida Prof Jose Dos Anjos/ Rua Petronila Botelho,-8.028152063,-34.89072248
137,Praça Luiz Inácio Pessoa de Mello,Praça,Ponto De Parada,Avenida Santos Dumont/R Couto Magalhaes//Rua Jose Alexandre Cacador,-8.030706977,-34.89487228
138,Praça Phaelante da Câmara,Praça,Rosarinho,Avenida Norte/Avenida Santos Dumont,-8.033021471,-34.89645357
139,Praça Amaro Albino Pimentel,Praça,Tamarineira,Avenida Eng. Agamenon Magalhães De Melo / Rua Canapolis,-8.029928162,-34.89786528
140,Praça José Sales Filho,Praça,Torre,Avenida Beira Rio,-8.045159731,-34.9046566
141,Praça Professor Coelho de Almeida,Praça,Iputinga,Avenida Caxanga/Avenida Mario Alvares Pereira De Lyra/R Cons Silveira De Souza/R Prof Coelho De Almeida,-8.045449563,-34.93159909
142,Praça Pinto Damaso,Praça,Varzea,Avenida Afonso Olindense/Rua Coronel Pacheco/ Prc Pinto Damaso,-8.048372188,-34.95930836
143,Praça Manuel Markman,Praca,Parnamirim,Rua Joao Tude De Melo/Rua Leonardo Bezerra Cavalcante,-8.036473407,-34.90945407
144,Praça Pinto Damaso,Praça,Varzea,Avenida Afonso Olindense /Rua Azeredo Coutinho/Rua Coronel Pacheco,-8.049159781,-34.9594845
145,Praça do Caxanga,Praça,Caxanga,Avenida Caxanga/ Praca Do Caxanga,-8.031182701,-34.95495451
146,Praça João Vinte e Três,Praça,Curado,Rua Itauna/ Rua Maranguape,-8.083224468,-34.95535994
147,Praça Mercia de Albuquerque,Praça,Areias,Rua Capitao Manuel De Aguiar/Rua Capitao Francisco Coutinho/Rua Capitao Sebastiao Ferreira,-8.095123619,-34.93238217
148,Praça Olavo Bilac,Praca,Santo Amaro,Rua Do Hospicio/ Rua Do Principe,-8.057103901,-34.88299549
149,Praça Desembargador Carlos Xavier Paes Barreto,Praça,Ipsep,Rua Vicente Licinio/ Avenida Senador Robert Kennedy/ R Manoel Bekmann/ Rua Anita Garibaldi,-8.118049717,-34.92051981
150,Praça Aleixo de Oliveira,Praça,Ipsep,Rua Aristides Lobo/Rua Adolfo Faro/Rua Helio Brandao,-8.112473679,-34.92441046
151,Praça Sebastião Malta,Praça,Jordao,Rua Alberto Lundgren / Avenida Dona Carentina / Avenida Governador Roberto Silveira,-8.136669744,-34.9369309
152,Praça Marcantônio Vilaça,Praça,Pina,Rua Alexandrino Martins Rodrigues / Rua Joaquim Carneiro Da Silva / Rua Mario Gomes De Matos,-8.098990627,-34.88932383
153,Praça Selecao 70,Praça,Boa Viagem,Avenida Armindo Moura / R Capitao Lopes Braganca / R Eugenio Coimbra Junior/R General Charles De Gaulle,-8.150688881,-34.91047983
154,Praça da Rua Carlos Gomes/ do Cavalo Dourado,Praça,Prado,Rua Gomes Taborda / R Carlos Gomes,-8.059028696,-34.91222267
155,Praça do Derby,Praça,Derby,Avenida Governador Agamenon Magalhaes/Rua Jener De Souza,-8.056286413,-34.89910823
156,Praça do Derby,Praça,Derby,Avenida Governador Agamenon Magalhaes/Rua Jener De Souza,-8.057136516,-34.89908761
157,Praça Poeta Fernando Pessoa,Praca,Derby,Rua Amaro Bezerra,-8.055958926,-34.90106576
158,Praça do Entroncamento,Praça,Gracas,Avenida Rui Barbosa/Avenida Cons Rosa E Silva,-8.050457829,-34.897231
159,Praça da FEB,Praça,Aflitos,Rua Quarenta E Oito / Rua Amapa,-8.040594222,-34.89473909
160,Praça Capiba,Praça,Cajueiro,Rua Manoel Brandao/R Urca / Para,-8.009030103,-34.88522124
161,Praça Onze de Junho,Praça,Santo Amaro,Rua Moraes De Inhama/Avenida Cruz Cabuga/Rua Dona Leonor Porto,-8.044146364,-34.87414291
162,Praça Onze de Junho,Praça,Santo Amaro,Avenida Prefeitom Artur Lima Cavalcanti,-8.045000556,-34.87471854
163,Praça Melvin Jones,Praça,Parnamirim,Rua Padre Roma/Rua Sebastiao Malta Arcoverde,-8.033058472,-34.90728339
164,Praça Mano Teodósio,Praça,Poco,Estra Real Do Poco,-8.036080917,-34.92464338
165,Praça de Apipucos,Praça,Apipucos,Rua Apipucos  / Rua Alianca,-8.020943313,-34.93562139
166,Praça Vila do Moinho Recife,Praça,Encruzilhada,Estrada De Belem/Rua Castro Alves,-8.037152315,-34.89067859
167,Praça Othon Bezerra de Melo,Praça,Macaxeira,Rua Regina/ Rua Ana/ Rua Ida,-8.015465916,-34.92860365
168,Largo da Encruzilhada,Praça,Encruzilhada,Avenida Joao De Barros/Rua Dr Jose Maria/Avenida Beberibe,-8.037350908,-34.89142217
169,Praça Professor Ageu Magalhães,Praça,Derby,Rua Jenner De Souza,-8.05733666,-34.90025304
170,Praça Manuel Markman,Praca,Parnamirim,Joao Tude De Melo,-8.036620728,-34.90947217
171,Praça José Sales Filho,Praca,Torre,Avenida Beira Rio,-8.044528018,-34.90482779
172,Praça Doutor Pedro Alves Neto,Praça,Agua Fria,Avenida Beberibe/ Rua Da Regeneracao,-8.018591518,-34.89320584
173,Praça Doutor Pedro Alves Neto,Praça,Agua Fria,Avenida Beberibe/ Rua Dr Eudes Costa,-8.01839404,-34.89336753
174,Praça Profeta Joseph Smith,Praça,Pina,Avenida Engenheiro Domingos Ferreira,-8.098106912,-34.88634993
175,Praça Professor Doutor Antônio Figueira,Praça,Poco,Estrada Real Do Poco,-8.03549863,-34.92324247
176,Praça Josenildo Paes Barreto,Praça,Ilha Do Retiro,Rua Joao Elisio Ramos/ Rua Dr Joao Marques,-8.06303777,-34.90501267
177,Praça Dom Miguel Valverde,Praça,Encruzilhada,Rua Amaro Coutinho/Rua Fernando Cesar/R Inacio Galvao Dos Santos,-8.03553322,-34.89271976
178,Praça A.B.C,Praça,Mustardinha,Rua Jose Bezerra Cavalcante/Avenida Manoel Goncalves Da Paz/R Jetucupapo/R Neto Campelo Junior,-8.073494139,-34.91860271
179,Praça Jornalista Antônio Teixeira Junior,Praça,Boa Viagem,Avenida Engenheiro Domingos Ferreira / Rua Viscinde De Jequitinhonha,-8.129670524,-34.90246713
180,Praça Alberto Pinto,Praça,Santo Amaro,Rua Arnobio Marques/ Avenida Agamenon  Magalhaes,-8.045053479,-34.88864
181,Praça Faca Cega,Praça,Cohab,Rua Currais Novos / Rua Guama / Rua Gurupa / Rua Mecejana,-8.119843092,-34.95611551
182,Praça Doutor Júlio Campelo,Praça,Iputinga,Rua Dr Julio Campelo/Rlucilo Varejao/ Rua Jose Pessoa De Queiroz,-8.032431242,-34.93133529
183,Praça Jornalista Otávio Sarmento Cardoso/Coliseu,Praça,Varzea,Rua Prof Otavio Sarmento Cardoso/ R Torres Gomes/ R Dr Jose Munguba Sobrinho,-8.037252355,-34.95602863
184,Praça Angélica,Praça,Cordeiro,Rua Angelica/ Rua Claudio Brotherhood,-8.053687749,-34.93151417
185,Praça Movicar,Praça,Areias,Rua Capitao Joao Lopes/R Capitao Vicente Moutinho/R Capitao Jeronimo Amaral,-8.093465192,-34.93254057
186,Praça das Criancas,Praça,Areias,Rua Luiz Sepulveda/Rua Capitao Paulo Teixeira/Rua Capitao Domingos Da Costa,-8.098665789,-34.93360387
187,Praça Pedro Brandão,Praça,Areias,Rua Jeronimo Inojosa/Rua Sargento Afonso Rodrigues/R Francisco Do Rego/R Capitao Francisco Da Rocha,-8.097704971,-34.93173386
188,Praça Eduardo Cardoso/Gregório Albuquerque,Praça,Areias,Rua Alvaro Fragoso/R Bento Teixeira/R Capitao Gregorio De Albuquerque/Trv Capitao G De Albuquerque,-8.09643717,-34.93142046
189,Praça Irmã Douraci,Praça,Mustardinha,Largo Da Mustardinha/Avenida Manoel Goncalves Da Paz/,-8.07181677,-34.91832397
190,Praça El Salvador,Praça,Jardim Sao Paulo,Avenida Sao Paulo,-8.076677599,-34.94207711
191,Praça Noel Rodrigues,Praça,San Martin,Rua Guy Bastos Junior/ R Comendador Franco Ferreira/Trv Comendador F Ferreira/ Avenida General San Martin,-8.067143641,-34.92752222
192,Praça Noel Rodrigues,Praça,San Martin,Rua Guy Bastos Junio/ Rua Comendador Franco Ferreira/ Avenida General San Martin,-8.066568087,-34.92736969
193,Praça Dom Bosco,Praça,San Martin,Rua Mineirolandia/Rua Tenente Mindelo,-8.075048933,-34.9299451
194,Praça Nossa Senhora de Fátima,Praça,San Martin,Rua Professor Silvio Da Cunha Santos/R Dr Telesphoro Fragoso/Rua Pedro Melo,-8.072333057,-34.93061711
195,Praça professora Antonia Galvão,Praça,Agua Fria,Rua Alegre / R Julio Ramos/ Rua Zeferino Agra,-8.021164799,-34.89318526
196,Praça desenhista Eulino Santos,Praça,Arruda,Rua Da Regeneracao/R Desenhista Eulino Santos,-8.022917866,-34.88311476
197,Praça do Cajueiro,Praça,Cajueiro,Rua Tenente Wanderley/R Maria Cristina Tasso De Souza/R Couto Soares,-8.01281867,-34.88307815
198,Praça Sementes do Amanhã,Praça,Campina Do Barreto,Avenida Sebastiao Salazar/ Rua Couto Soares,-8.013098914,-34.88177275
199,Praça do Colégio Jarbas Pernambucano,Praça,Cajueiro,Avenida Sebastiao Salazar/ Rua Barao De Tamandare,-8.011087595,-34.88380149
